checkpoint,episode,score,length
250k,1,93.0,754
250k,2,7.0,46
250k,3,112.0,947
250k,4,95.0,815
250k,5,90.0,767
250k,6,47.0,470
250k,7,8.0,46
250k,8,166.0,1381
250k,9,106.0,887
250k,10,23.0,234
250k,11,22.0,233
250k,12,166.0,1463
250k,13,14.0,88
250k,14,167.0,1333
250k,15,23.0,223
250k,16,138.0,1157
250k,17,8.0,46
250k,18,23.0,264
250k,19,118.0,1057
250k,20,70.0,507
500k,1,109.0,796
500k,2,33.0,236
500k,3,142.0,1086
500k,4,47.0,416
500k,5,70.0,457
500k,6,18.0,108
500k,7,85.0,648
500k,8,119.0,834
500k,9,22.0,174
500k,10,166.0,1221
500k,11,27.0,227
500k,12,81.0,558
500k,13,142.0,1116
500k,14,22.0,185
500k,15,23.0,196
500k,16,137.0,967
500k,17,95.0,714
500k,18,118.0,952
500k,19,43.0,318
500k,20,93.0,723
750k,1,42.0,327
750k,2,47.0,407
750k,3,118.0,942
750k,4,21.0,195
750k,5,95.0,712
750k,6,86.0,567
750k,7,95.0,765
750k,8,119.0,891
750k,9,30.0,198
750k,10,55.0,417
750k,11,143.0,1062
750k,12,117.0,837
750k,13,212.0,1533
750k,14,95.0,751
750k,15,7.0,48
750k,16,8.0,47
750k,17,189.0,1286
750k,18,141.0,1046
750k,19,24.0,165
750k,20,236.0,1665
1M,1,237.0,1820
1M,2,46.0,392
1M,3,164.0,1180
1M,4,86.0,686
1M,5,22.0,211
1M,6,155.0,1186
1M,7,30.0,227
1M,8,23.0,250
1M,9,191.0,1426
1M,10,118.0,1013
1M,11,91.0,637
1M,12,136.0,1005
1M,13,162.0,1265
1M,14,47.0,335
1M,15,23.0,156
1M,16,235.0,1774
1M,17,143.0,1061
1M,18,47.0,371
1M,19,71.0,554
1M,20,93.0,806
