frame,episode,eval_mean,eval_std,avg_loss
50000,413,19.0000,5.5136,2.396069
100000,580,31.8000,27.4984,2.073309
150000,716,33.6000,30.3157,1.886521
200000,809,82.2000,41.0483,1.666375
250000,903,56.4000,43.7794,1.547955
300000,989,134.2000,47.0889,1.409593
350000,1060,109.2000,71.6782,1.376234
400000,1149,71.0000,43.0488,1.248973
450000,1226,58.6000,25.1205,1.173193
500000,1303,78.6000,34.2380,1.173087
550000,1379,81.8000,42.3858,1.119658
600000,1457,118.6000,50.6067,1.111598
650000,1527,138.2000,21.4420,1.058995
700000,1602,106.2000,63.2120,0.970182
750000,1684,107.0000,47.2737,1.040155
800000,1760,114.6000,46.0461,1.051927
850000,1844,109.2000,67.9394,1.046479
900000,1926,97.6000,59.8819,1.052141
950000,1992,80.2000,71.1432,0.985782
1000000,2069,125.0000,65.6780,0.951538
1050000,2142,82.4000,55.4963,0.965145
1100000,2206,75.2000,73.8333,0.999736
1150000,2270,129.2000,74.2439,0.927472
1200000,2339,172.4000,77.0184,0.920243
1250000,2398,126.0000,65.2809,0.896925
1300000,2455,148.4000,118.2685,0.838635
1350000,2522,110.4000,87.2688,0.896035
1400000,2585,66.2000,23.8445,0.872875
1450000,2647,156.8000,66.0951,0.868301
1500000,2708,24.6000,20.6359,0.868678
1550000,2756,121.8000,68.3415,0.877848
1600000,2816,130.4000,80.4204,0.829386
1650000,2881,125.4000,49.8783,0.840113
1700000,2940,68.0000,40.1945,0.825822
1750000,2998,54.2000,21.9490,0.850891
1800000,3052,166.2000,62.2106,0.840628
1850000,3108,86.2000,76.8724,0.816567
1900000,3168,50.6000,43.2786,0.822861
1950000,3219,87.2000,59.0505,0.798244
2000000,3269,118.0000,42.1758,0.790419
2050000,3320,105.8000,77.3961,0.735603
2100000,3376,112.6000,101.7578,0.753278
2150000,3435,78.2000,41.5856,0.753102
2200000,3496,118.0000,58.7980,0.771290
2250000,3548,103.6000,64.6795,0.754362
2300000,3592,142.6000,58.3253,0.739982
2350000,3656,70.2000,48.8729,0.708351
2400000,3699,187.6000,100.7682,0.718492
2450000,3753,209.2000,193.6217,0.682191
2500000,3801,66.2000,37.3599,0.710133
2550000,3848,182.8000,98.6254,0.670844
2600000,3904,96.4000,54.3713,0.676222
2650000,3965,148.2000,100.2026,0.707075
2700000,4022,88.0000,51.0372,0.695629
2750000,4078,139.4000,107.9956,0.728202
2800000,4132,215.0000,127.6903,0.709794
2850000,4183,160.8000,59.7977,0.701295
2900000,4227,134.0000,102.2526,0.689355
2950000,4274,221.4000,86.3310,0.637218
3000000,4332,91.0000,56.8261,0.671488
3050000,4380,127.4000,47.0515,0.676297
3100000,4434,145.2000,80.9602,0.691814
3150000,4480,85.8000,70.3744,0.670874
3200000,4533,153.8000,91.1206,0.637263
3250000,4572,190.2000,138.8516,0.637286
3300000,4625,118.6000,71.2870,0.637384
3350000,4679,114.2000,87.9623,0.632940
3400000,4734,150.6000,103.6525,0.680163
3450000,4783,216.8000,147.4658,0.648696
3500000,4829,168.2000,95.1155,0.623017
3550000,4876,101.2000,82.9106,0.678041
3600000,4922,160.6000,56.9793,0.613521
3650000,4980,103.2000,46.0365,0.629956
3700000,5026,143.0000,47.7452,0.612316
3750000,5077,155.8000,86.4486,0.602319
3800000,5122,176.4000,148.6561,0.634778
3850000,5166,160.2000,68.2917,0.615462
3900000,5212,145.0000,119.6913,0.569966
3950000,5253,168.0000,139.7269,0.536558
4000000,5296,139.2000,96.1153,0.532084
4050000,5337,162.6000,135.0520,0.561181
4100000,5391,262.8000,105.8932,0.630941
4150000,5436,229.6000,115.5952,0.588917
4200000,5484,147.2000,28.6315,0.587762
4250000,5524,137.4000,51.7710,0.563151
4300000,5564,238.4000,83.6650,0.539636
4350000,5609,128.0000,72.1110,0.537213
4400000,5652,137.8000,111.9311,0.559825
4450000,5701,139.8000,73.6652,0.587989
4500000,5738,133.6000,92.7439,0.572108
4550000,5779,193.8000,73.4449,0.481424
4600000,5818,96.0000,72.9740,0.492656
4650000,5854,251.2000,187.9259,0.459326
4700000,5889,274.2000,267.6553,0.485526
4750000,5926,209.2000,213.3677,0.522962
4800000,5968,163.2000,126.4490,0.507795
4850000,6010,188.6000,120.5547,0.508899
4900000,6043,494.2000,243.4555,0.463184
4950000,6083,249.4000,219.9678,0.447007
5000000,6121,292.0000,250.6017,0.500750
